gene,mean_shap_rank,mean_attn_rank,combined_rank_score,n_folds,mean_shap_importance,mean_attention
SCNN1G,2615.00,3088.33,5703.33,2,1.4828e-05,0.00010012
C17orf62,3412.67,2292.00,5704.67,2,3.9321e-06,0.000172737
ONECUT2,3480.67,2225.00,5705.67,2,5.20688e-06,0.000155493
CXorf21,2952.00,2757.67,5709.67,2,6.62954e-06,0.000149034
P2RY13,2381.67,3328.33,5710.00,3,1.14238e-05,0.000121675
MRVI1,2779.00,2931.33,5710.33,2,5.47307e-06,0.000155933
SAMHD1,3066.33,2647.00,5713.33,2,5.36652e-06,0.000155665
GPR143,2942.00,2771.33,5713.33,3,1.05283e-05,0.000113359
SPRR2B,3375.67,2338.00,5713.67,2,2.74265e-06,0.000218839
ZNF770,2558.00,3156.33,5714.33,2,1.62917e-05,0.000120825
LOC102724880,2986.67,2728.33,5715.00,2,4.47701e-06,0.00018516
CPEB2,2315.00,3400.00,5715.00,2,1.60549e-05,0.000113636
GALNT10,3550.00,2165.00,5715.00,2,1.02545e-05,0.000100144
ANLN,2673.33,3042.67,5716.00,2,1.17913e-05,0.000134333
PARM1,2500.67,3216.33,5717.00,3,1.52706e-05,0.00012886
TLR5,2438.00,3281.00,5719.00,2,7.56135e-06,0.000120331
KRT19,3596.33,2123.33,5719.67,2,3.52863e-06,0.000193247
HLA-DRB1,3538.00,2182.33,5720.33,3,6.71935e-06,0.000124108
SLC39A4,2838.00,2884.00,5722.00,2,8.22712e-06,0.000141852
AASDH,3104.33,2618.67,5723.00,2,1.61212e-05,0.000100062
ZNF785,3063.33,2660.33,5723.67,2,4.90129e-06,0.000150058
NXPH1,2943.33,2782.33,5725.67,2,6.29659e-06,0.000160877
CLDN22,3337.00,2390.67,5727.67,2,1.12261e-05,0.000101167
HPS3,2722.00,3005.67,5727.67,2,1.36014e-05,0.000100051
LOC100996740,2455.33,3272.33,5727.67,3,6.23659e-06,0.000133961
PHOSPHO2,3650.33,2078.33,5728.67,2,3.23295e-06,0.00022023
MRPS21,3008.67,2721.00,5729.67,2,4.87215e-06,0.000149821
GZMH,1339.00,4392.00,5731.00,3,1.10224e-05,0.00011268
OGT,2782.00,2949.00,5731.00,2,6.3627e-06,0.000158524
C1orf54,2966.67,2766.00,5732.67,2,5.11462e-06,0.000143195
MT1G,2788.67,2944.67,5733.33,2,7.4365e-06,0.000151809
WASF1,3010.33,2723.67,5734.00,3,3.46619e-06,0.000145343
HJURP,2764.33,2970.00,5734.33,2,1.25932e-05,0.000132488
CCT8,2927.67,2807.67,5735.33,2,1.08294e-05,0.000131024
